MaritalStatus,Gender,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned,Age,BikeBuyer
S,F,79235,1,1,Bachelors,Clerical,1,1,59,1
S,F,35390,0,0,Graduate Degree,Manual,0,1,35,1
S,M,136457,0,0,Graduate Degree,Professional,0,3,31,1
S,F,53549,0,0,High School,Skilled Manual,1,1,52,1
M,F,85674,2,1,Partial College,Clerical,1,0,44,1
M,M,129242,2,0,Bachelors,Professional,1,3,58,1
M,F,61829,2,2,Partial High School,Skilled Manual,1,1,49,1
S,M,111980,0,0,Bachelors,Management,1,3,40,1
M,F,54675,1,1,Bachelors,Skilled Manual,1,0,37,1
M,F,54675,1,1,Bachelors,Skilled Manual,1,0,37,1
S,F,106648,0,0,Partial College,Management,1,3,48,1
S,M,58037,0,0,Partial High School,Skilled Manual,0,1,32,1
M,F,106062,1,0,Partial College,Management,1,2,32,1
S,M,28008,0,0,High School,Manual,0,1,39,1
M,M,86828,3,0,Graduate Degree,Clerical,1,2,65,1
S,M,61109,0,0,Partial College,Skilled Manual,0,2,43,1
M,F,35142,2,1,Graduate Degree,Manual,1,1,66,1
M,F,59673,0,0,High School,Skilled Manual,0,2,28,1
M,M,133272,2,1,Bachelors,Professional,1,3,62,1
S,M,81957,1,0,Partial College,Clerical,1,3,62,1
S,F,103314,0,0,Partial College,Management,0,1,31,1
S,F,103546,0,0,Graduate Degree,Management,1,2,38,1
M,M,58317,1,1,Bachelors,Skilled Manual,0,0,37,1
M,M,55825,2,0,Bachelors,Skilled Manual,1,2,65,1
S,F,36367,0,0,Graduate Degree,Manual,0,1,39,1
S,F,107852,0,0,Bachelors,Management,0,2,36,1
M,M,105888,0,0,Bachelors,Management,1,0,29,1
S,M,31956,0,0,Partial High School,Manual,0,1,49,1
M,F,83026,0,0,High School,Clerical,0,0,28,1
S,M,110808,0,0,Graduate Degree,Management,1,2,38,1
M,F,51566,2,2,Partial High School,Skilled Manual,1,1,57,1
M,F,132962,2,1,Bachelors,Professional,1,3,41,1
S,M,135064,0,0,Graduate Degree,Professional,1,2,52,1
S,F,135997,0,0,Graduate Degree,Professional,1,2,52,1
S,F,57770,0,0,High School,Skilled Manual,0,1,34,1
S,M,113290,0,0,Bachelors,Management,0,1,32,1
M,F,81214,2,1,Partial College,Clerical,1,1,63,1
M,F,80624,2,0,Bachelors,Clerical,1,2,45,1
S,F,106908,1,0,Bachelors,Management,1,2,59,1
S,M,51796,0,0,Bachelors,Skilled Manual,0,1,40,1
M,M,80764,2,1,Graduate Degree,Clerical,1,2,34,1
M,F,35297,1,0,Partial High School,Manual,0,0,41,1
S,F,78604,0,0,Partial College,Clerical,0,1,28,1
M,M,102869,0,0,Bachelors,Management,1,3,42,1
M,M,62293,2,1,High School,Skilled Manual,1,1,49,1
S,M,34607,0,0,Partial College,Manual,0,1,43,1
M,F,53042,2,1,Partial College,Skilled Manual,1,2,49,1
S,F,106195,0,0,Bachelors,Management,0,1,34,1
M,F,106360,2,0,Partial College,Management,1,2,53,1
M,M,110288,1,1,Partial College,Management,1,2,47,1
S,M,112590,0,0,Graduate Degree,Management,0,1,33,1
M,M,30844,2,1,Partial College,Manual,1,0,56,1
M,M,109611,3,0,Graduate Degree,Management,1,2,65,1
S,F,111685,0,0,Partial College,Management,1,2,38,1
S,F,30259,1,1,Graduate Degree,Manual,1,0,66,1
S,M,82339,0,0,Partial College,Clerical,0,2,29,1
S,M,87633,0,0,High School,Clerical,1,1,43,1
S,M,80782,0,0,Graduate Degree,Clerical,0,1,36,1
M,F,57125,2,0,Partial College,Skilled Manual,1,1,49,1
S,M,56092,0,0,Bachelors,Skilled Manual,0,2,44,1
M,F,131943,0,0,Graduate Degree,Professional,1,2,46,1
M,M,52627,2,0,Partial High School,Skilled Manual,1,2,55,1
M,M,26331,2,0,Partial College,Manual,1,1,45,1
S,M,27908,0,0,Bachelors,Manual,0,1,30,1
S,M,56751,0,0,High School,Skilled Manual,0,1,39,1
M,M,32619,2,1,Bachelors,Manual,1,1,51,1
M,F,105983,0,0,Bachelors,Management,1,3,40,1
M,F,128877,2,1,Graduate Degree,Professional,1,1,34,1
S,F,55000,1,1,High School,Skilled Manual,1,2,61,1
S,F,50910,0,0,High School,Skilled Manual,0,1,29,1
M,M,57493,1,1,Partial College,Skilled Manual,1,2,40,1
S,F,82095,1,1,Partial College,Clerical,1,0,63,1
S,M,136001,0,0,Bachelors,Professional,0,2,30,1
M,F,104443,0,0,Bachelors,Management,1,3,38,1
S,F,59013,0,0,Partial College,Skilled Manual,0,1,41,1
S,M,54240,0,0,Partial College,Skilled Manual,0,1,46,1
M,F,103150,2,0,Bachelors,Management,1,3,58,1
M,F,108823,2,1,Partial College,Management,1,3,45,1
S,F,77300,0,0,High School,Clerical,0,2,28,1
M,F,82308,1,0,Partial College,Clerical,1,2,47,1
S,F,129719,0,0,Graduate Degree,Professional,1,1,47,1
S,M,36588,0,0,Partial College,Manual,0,0,29,1
S,F,81053,0,0,Partial College,Clerical,1,3,48,1
M,F,35160,2,2,High School,Manual,1,0,53,1
S,M,57655,0,0,High School,Skilled Manual,1,1,48,1
M,M,61513,1,1,Partial High School,Skilled Manual,1,2,51,1
M,M,57933,0,0,High School,Skilled Manual,0,0,24,1
S,M,104429,0,0,Bachelors,Management,0,2,32,1
M,M,32494,2,0,High School,Manual,1,0,53,1
M,F,51293,0,0,High School,Skilled Manual,0,2,27,1
M,M,78805,2,1,Partial College,Clerical,1,3,60,1
S,M,33244,0,0,Partial High School,Manual,0,1,25,1
M,M,30115,1,1,Partial College,Manual,1,1,43,1
S,M,55404,1,1,Partial College,Skilled Manual,1,1,58,1
S,F,34165,0,0,Partial College,Manual,0,0,52,1
M,M,57132,2,1,High School,Skilled Manual,1,2,49,1
S,M,132560,0,0,Graduate Degree,Professional,1,2,36,1
M,M,53062,2,1,High School,Skilled Manual,1,1,50,1
M,F,79950,2,1,Bachelors,Clerical,1,0,62,1
M,M,83167,1,0,Bachelors,Clerical,1,2,42,1
S,M,77729,0,0,Partial College,Clerical,1,0,43,1
M,F,54058,1,1,Partial College,Skilled Manual,1,1,51,1
M,F,87071,2,0,Graduate Degree,Clerical,1,1,46,1
S,F,26818,0,0,High School,Manual,0,0,30,1
M,M,52630,2,0,Bachelors,Skilled Manual,1,0,51,1
M,M,83410,2,0,Partial College,Clerical,1,2,49,1
M,F,83299,2,1,Partial College,Clerical,1,2,45,1
S,F,54201,1,1,Bachelors,Skilled Manual,1,1,61,1
S,F,133136,0,0,Graduate Degree,Professional,1,2,39,1
S,M,60371,0,0,Partial High School,Skilled Manual,0,2,26,1
M,F,55220,2,1,Partial College,Skilled Manual,1,1,48,1
M,M,85098,2,0,Partial College,Clerical,1,1,45,1
S,M,129013,0,0,Bachelors,Professional,1,2,37,1
S,F,106013,0,0,Bachelors,Management,0,2,37,1
S,F,77922,0,0,Partial College,Clerical,0,2,28,1
M,F,104734,0,0,Graduate Degree,Management,1,3,36,1
S,F,83202,0,0,Partial College,Clerical,0,2,32,1
M,M,61391,2,1,High School,Skilled Manual,1,1,61,1
S,F,82687,0,0,High School,Clerical,1,0,53,1
S,M,83361,0,0,Partial College,Clerical,0,1,30,1
M,F,57161,0,0,Bachelors,Skilled Manual,0,2,31,1
M,F,109320,2,1,Graduate Degree,Management,1,3,44,1
M,M,27866,2,1,Partial College,Manual,1,1,45,1
S,F,53889,0,0,High School,Skilled Manual,1,1,52,1
M,M,53916,2,0,Partial High School,Skilled Manual,1,0,58,1
M,F,56880,0,0,High School,Skilled Manual,0,1,26,1
M,F,85533,2,1,High School,Clerical,1,3,48,1
S,F,109072,0,0,Bachelors,Management,1,1,42,1
M,M,110148,2,0,Graduate Degree,Management,1,4,43,1
M,F,103959,2,1,Partial College,Management,1,2,40,1
S,F,54230,0,0,High School,Skilled Manual,0,1,26,1
S,F,133903,0,0,Bachelors,Professional,1,2,47,1
S,M,79311,0,0,Bachelors,Clerical,1,1,43,1
M,F,84084,2,0,Partial College,Clerical,1,2,44,1
S,M,54821,0,0,Bachelors,Skilled Manual,0,2,36,1
M,M,77748,2,1,Partial College,Clerical,1,2,50,1
M,M,27122,2,2,High School,Manual,1,0,59,1
S,M,62520,0,0,Partial College,Skilled Manual,0,0,42,1
S,F,55096,0,0,Partial College,Skilled Manual,0,1,26,1
M,M,83229,2,1,Bachelors,Clerical,1,2,60,1
M,F,60347,3,0,Bachelors,Skilled Manual,1,0,66,1
M,F,27006,1,1,Partial College,Manual,0,0,40,1
S,M,56071,0,0,High School,Skilled Manual,1,0,56,1
S,M,51705,0,0,Partial College,Skilled Manual,1,0,55,1
M,M,87993,2,1,Graduate Degree,Clerical,1,0,39,1
M,F,81913,2,0,Partial College,Clerical,1,2,50,1
S,F,55838,0,0,Bachelors,Skilled Manual,0,0,41,1
S,F,32924,0,0,Partial College,Manual,0,1,46,1
M,F,136633,2,2,Bachelors,Professional,1,2,45,1
M,M,28954,3,0,Graduate Degree,Manual,1,1,71,1
M,M,78271,1,0,Partial College,Clerical,1,1,45,1
S,M,54082,0,0,Partial College,Skilled Manual,0,0,30,1
S,F,102019,0,0,Partial College,Management,1,2,44,1
M,M,58336,2,0,Bachelors,Skilled Manual,1,1,47,1
M,M,106235,0,0,Bachelors,Management,1,2,38,1
M,M,132506,2,0,Graduate Degree,Professional,1,1,39,1
M,F,61547,2,2,Partial College,Skilled Manual,1,0,48,1
S,M,134871,1,1,Graduate Degree,Professional,1,2,67,1
S,F,51970,0,0,High School,Skilled Manual,0,1,36,1
S,F,129017,0,0,Graduate Degree,Professional,1,3,34,1
S,F,51980,0,0,High School,Skilled Manual,1,1,56,1
S,F,107530,0,0,Bachelors,Management,0,1,37,1
M,M,80444,1,0,Graduate Degree,Clerical,1,1,34,1
S,F,105715,0,0,Partial College,Management,1,2,42,1
S,M,77151,1,0,Graduate Degree,Clerical,1,0,70,1
M,F,81669,2,0,Bachelors,Clerical,1,1,47,1
S,F,81432,0,0,Graduate Degree,Clerical,0,2,38,1
S,M,34298,0,0,Bachelors,Manual,0,0,29,1
M,F,107934,2,0,Bachelors,Management,1,1,46,1
S,F,109457,0,0,Graduate Degree,Management,0,2,31,1
M,M,54266,1,1,Bachelors,Skilled Manual,0,1,35,1
S,F,26150,0,0,High School,Manual,0,0,37,1
M,M,112302,2,1,Graduate Degree,Management,1,3,38,1
M,F,81542,1,1,Graduate Degree,Clerical,1,3,45,1
M,M,51854,2,1,High School,Skilled Manual,1,2,53,1
S,F,54153,0,0,Bachelors,Skilled Manual,0,0,39,1
S,M,105736,0,0,Bachelors,Management,1,1,41,1
S,F,54626,0,0,Partial College,Skilled Manual,0,2,26,1
M,M,83144,0,0,Bachelors,Clerical,0,2,27,1
M,M,135029,2,2,Graduate Degree,Professional,1,2,64,1
M,F,52476,2,0,Bachelors,Skilled Manual,1,0,58,1
S,F,84807,0,0,Bachelors,Clerical,1,0,51,1
S,F,36634,0,0,High School,Manual,0,0,29,1
S,F,84866,0,0,Bachelors,Clerical,0,3,36,1
M,M,79867,2,1,Bachelors,Clerical,1,1,34,1
M,M,51783,2,0,Graduate Degree,Skilled Manual,1,0,63,1
M,F,55768,2,1,Graduate Degree,Skilled Manual,1,1,61,1
M,F,80690,2,1,Partial College,Clerical,1,2,46,1
M,F,30247,0,0,High School,Manual,0,0,31,1
M,M,83705,2,0,Partial College,Clerical,1,2,47,1
S,F,106597,0,0,Bachelors,Management,0,2,34,1
M,F,60958,2,1,Graduate Degree,Skilled Manual,0,0,33,1
S,M,111130,0,0,Bachelors,Management,1,2,40,1
M,M,53604,1,0,Bachelors,Skilled Manual,1,0,40,1
M,F,57269,0,0,High School,Skilled Manual,0,1,30,1
S,M,61287,0,0,Bachelors,Skilled Manual,0,2,41,1
S,F,77098,0,0,High School,Clerical,0,1,28,1
M,M,52607,0,0,High School,Skilled Manual,0,2,31,1
M,M,130743,2,0,Bachelors,Professional,1,2,52,1
M,M,59358,2,1,High School,Skilled Manual,1,0,44,1
M,M,54025,1,1,High School,Skilled Manual,1,0,51,1
M,F,79556,2,1,Partial College,Clerical,1,2,56,1
M,F,128521,2,0,Bachelors,Professional,1,1,65,1
M,M,51642,2,1,Partial College,Skilled Manual,1,1,53,1
S,F,52484,0,0,Partial College,Skilled Manual,1,2,53,1
S,M,30051,0,0,High School,Manual,0,0,42,1
M,F,25495,1,1,Partial High School,Manual,1,1,48,1
M,M,136250,2,1,Bachelors,Professional,1,2,62,1
S,F,51351,0,0,Bachelors,Skilled Manual,0,0,45,1
S,M,134516,0,0,Bachelors,Professional,1,2,42,1
M,M,58340,0,0,Partial College,Skilled Manual,0,2,32,1
M,M,78194,2,1,Partial College,Clerical,1,3,55,1
M,M,27849,2,1,Graduate Degree,Manual,0,0,35,1
S,M,31315,0,0,Partial High School,Manual,0,0,32,1
M,F,133103,2,2,Graduate Degree,Professional,1,2,36,1
S,M,85953,0,0,High School,Clerical,0,1,36,1
S,F,78356,0,0,High School,Clerical,0,0,39,1
M,M,132022,0,0,Graduate Degree,Professional,1,2,39,1
M,F,103281,0,0,Bachelors,Management,1,2,40,1
S,M,36326,0,0,Partial High School,Manual,0,0,33,1
S,F,80632,0,0,Bachelors,Clerical,0,2,39,1
M,F,54443,1,0,Bachelors,Skilled Manual,1,1,41,1
M,M,53720,2,1,Partial College,Skilled Manual,1,1,39,1
M,M,138094,2,2,Bachelors,Professional,1,2,52,1
S,F,81168,0,0,Bachelors,Clerical,0,2,41,1
M,M,110907,2,0,Bachelors,Management,1,0,61,1
M,M,55051,2,0,Partial College,Skilled Manual,1,2,58,1
M,M,60460,2,1,High School,Skilled Manual,1,1,54,1
M,M,113065,2,0,Partial College,Management,1,1,50,1
S,F,78659,0,0,Partial College,Clerical,0,2,34,1
M,F,60825,2,1,High School,Skilled Manual,1,0,39,1
S,M,51307,0,0,Partial College,Skilled Manual,0,0,46,1
S,F,135850,1,1,Graduate Degree,Professional,1,2,64,1
S,F,56139,0,0,High School,Skilled Manual,0,1,41,1
M,M,106292,2,0,Partial College,Management,1,1,55,1
M,M,86492,2,1,Graduate Degree,Clerical,1,0,34,1
S,F,78270,0,0,Bachelors,Clerical,0,2,37,1
M,F,76306,2,1,Partial College,Clerical,1,2,49,1
S,M,26611,0,0,Partial High School,Manual,0,0,30,1
S,F,53598,0,0,High School,Skilled Manual,0,1,26,1
M,F,55540,2,1,Partial High School,Skilled Manual,1,1,54,1
M,M,138508,0,0,Graduate Degree,Professional,1,2,34,1
M,F,103553,3,0,Graduate Degree,Management,1,0,66,1
S,M,106124,0,0,Bachelors,Management,1,2,44,1
M,M,87137,0,0,Partial College,Clerical,0,3,27,1
M,M,53321,1,0,Partial High School,Skilled Manual,1,0,38,1
S,F,106613,0,0,Bachelors,Management,0,2,36,1
S,F,53096,0,0,High School,Skilled Manual,1,0,47,1
S,M,60793,0,0,Partial High School,Skilled Manual,1,1,48,1
S,M,30763,0,0,Partial High School,Manual,0,1,40,1
M,F,135185,2,0,Graduate Degree,Professional,1,0,39,1
S,M,57677,0,0,Partial High School,Skilled Manual,1,1,48,1
M,M,78065,2,1,Bachelors,Clerical,1,1,48,1
M,M,82159,2,1,Bachelors,Clerical,1,2,41,1
M,M,104925,2,1,Bachelors,Management,1,3,40,1
S,F,53762,0,0,Partial College,Skilled Manual,0,2,40,1
M,F,85651,0,0,Bachelors,Clerical,0,0,29,1
M,F,78680,1,1,Partial College,Clerical,1,1,37,1
M,M,138681,2,0,Graduate Degree,Professional,1,2,44,1
S,M,86677,0,0,High School,Clerical,0,0,40,1
S,F,84713,0,0,Partial College,Clerical,1,0,46,1
S,F,102387,0,0,Partial College,Management,1,3,56,1
S,M,26017,0,0,Partial High School,Manual,0,0,35,1
S,M,78140,0,0,Partial College,Clerical,0,2,40,1
M,F,57071,2,0,Partial College,Skilled Manual,1,2,50,1
M,F,36338,1,0,Graduate Degree,Manual,1,1,52,1
M,F,55936,1,0,Bachelors,Skilled Manual,1,2,40,1
S,F,59776,0,0,Bachelors,Skilled Manual,0,2,40,1
S,F,53200,1,0,Partial High School,Skilled Manual,1,1,59,1
M,M,33934,2,2,Partial College,Manual,1,0,42,1
S,M,58601,0,0,Graduate Degree,Skilled Manual,0,0,35,1
S,F,78945,0,0,High School,Clerical,0,3,38,1
S,F,32044,0,0,High School,Manual,0,0,29,1
S,F,112047,1,1,Partial College,Management,1,2,91,1
M,M,79952,1,0,High School,Clerical,1,0,33,1
M,M,35702,2,0,Partial College,Manual,1,1,49,1
M,F,57286,2,1,Partial College,Skilled Manual,1,0,56,1
M,M,57036,1,0,Graduate Degree,Skilled Manual,0,0,36,1
M,F,82552,1,1,Bachelors,Clerical,1,2,56,1
M,M,130517,2,1,Bachelors,Professional,1,1,59,1
S,M,32990,1,0,Bachelors,Manual,1,0,61,1
M,F,35976,0,0,High School,Manual,0,1,31,1
S,F,80570,0,0,Graduate Degree,Clerical,0,0,38,1
M,F,58899,2,0,High School,Skilled Manual,1,1,49,1
S,F,61956,0,0,Partial High School,Skilled Manual,0,0,32,1
M,M,27870,2,0,High School,Manual,1,1,49,1
S,M,51704,0,0,Bachelors,Skilled Manual,0,2,38,1
S,F,105891,0,0,Partial College,Management,0,0,28,1
M,F,82216,2,0,Partial College,Clerical,1,3,44,1
S,F,58372,0,0,Bachelors,Skilled Manual,0,1,39,1
M,F,56626,2,1,Partial College,Skilled Manual,1,1,68,1
M,M,53367,1,0,Partial College,Skilled Manual,1,2,41,1
S,M,28750,0,0,Partial High School,Manual,0,0,27,1
M,F,59994,2,0,Graduate Degree,Skilled Manual,1,2,61,1
M,M,54516,2,1,High School,Skilled Manual,1,2,59,1
S,M,53750,0,0,Partial High School,Skilled Manual,0,1,27,1
S,F,57716,0,0,Bachelors,Skilled Manual,0,0,36,1
M,M,28383,0,0,High School,Manual,0,0,31,1
S,M,36569,0,0,Partial High School,Manual,0,0,32,1
M,M,109581,2,2,Partial College,Management,1,3,49,1
S,F,76776,0,0,Partial College,Clerical,1,0,56,1
S,F,137727,0,0,Graduate Degree,Professional,1,2,47,1
M,F,55340,2,1,Partial College,Skilled Manual,1,2,49,1
S,F,27779,0,0,Partial College,Manual,0,1,31,1
M,M,56833,2,0,Bachelors,Skilled Manual,1,0,55,1
S,F,33026,0,0,High School,Manual,0,0,46,1
M,F,78520,1,0,Partial College,Clerical,1,1,33,1
M,M,54573,3,0,Graduate Degree,Skilled Manual,1,1,72,1
M,M,128329,2,1,Graduate Degree,Professional,1,1,45,1
M,F,57689,2,1,High School,Skilled Manual,1,0,51,1
M,F,36575,0,0,Partial College,Manual,0,1,28,1
S,F,32896,0,0,Partial High School,Manual,1,0,56,1
M,M,81432,1,0,Bachelors,Clerical,1,0,46,1
M,M,34554,2,1,Partial High School,Manual,1,1,51,1
S,M,54375,1,1,High School,Skilled Manual,1,1,61,1
M,M,111563,2,2,Bachelors,Management,1,2,47,1
M,M,85889,2,1,Partial College,Clerical,1,1,58,1
S,F,62077,0,0,High School,Skilled Manual,0,0,44,1
M,M,78344,1,1,High School,Clerical,1,2,43,1
M,M,52349,2,1,Partial College,Skilled Manual,1,0,51,1
S,F,61820,0,0,Partial High School,Skilled Manual,0,1,33,1
M,M,128425,2,1,Graduate Degree,Professional,1,3,46,1
M,F,84402,2,2,Bachelors,Clerical,1,2,43,1
S,M,108902,0,0,Bachelors,Management,1,1,41,1
S,M,62372,0,0,Bachelors,Skilled Manual,0,2,37,1
M,M,133099,0,0,Graduate Degree,Professional,1,3,34,1
S,F,85962,0,0,High School,Clerical,0,0,29,1
M,M,129522,2,0,Bachelors,Professional,1,2,57,1
M,F,34135,1,1,Partial College,Manual,1,1,54,1
M,M,59521,1,0,High School,Skilled Manual,1,0,40,1
M,F,34487,2,1,Graduate Degree,Manual,1,1,47,1
S,M,54306,0,0,Partial High School,Skilled Manual,0,1,25,1
S,F,79606,0,0,Graduate Degree,Clerical,1,2,51,1
S,M,77126,0,0,Graduate Degree,Clerical,0,1,39,1
S,M,59362,0,0,Partial College,Skilled Manual,0,1,45,1
S,F,34019,0,0,Partial High School,Manual,0,1,32,1
S,F,129567,0,0,Graduate Degree,Professional,1,2,36,1
S,M,60667,0,0,Partial College,Skilled Manual,0,2,40,1
M,F,138022,2,0,Graduate Degree,Professional,1,2,72,1
S,F,53629,0,0,Partial College,Skilled Manual,0,1,28,1
S,M,107890,0,0,Graduate Degree,Management,1,0,45,1
S,M,83477,0,0,Partial College,Clerical,0,0,29,1
S,F,25978,0,0,Partial College,Manual,0,0,29,1
M,F,57948,2,0,Partial College,Skilled Manual,1,2,59,1
S,M,27626,0,0,Bachelors,Manual,0,0,29,1
M,F,52502,1,0,Graduate Degree,Skilled Manual,1,0,46,1
M,F,32859,2,0,High School,Manual,1,0,55,1
M,F,34470,2,0,Graduate Degree,Manual,0,0,39,1
M,M,33994,2,0,Partial College,Manual,1,0,56,1
S,F,56889,0,0,Partial College,Skilled Manual,0,2,34,1
S,M,31101,0,0,Bachelors,Manual,0,0,37,1
M,F,79698,2,1,Partial College,Clerical,1,2,47,1
M,F,110846,2,1,Partial College,Management,1,2,44,1
S,F,57466,0,0,Partial High School,Skilled Manual,0,1,34,1
M,F,57090,2,1,Partial High School,Skilled Manual,1,1,54,1
S,F,82037,0,0,High School,Clerical,0,3,28,1
S,M,52717,0,0,Bachelors,Skilled Manual,0,2,46,1
S,F,79118,0,0,Partial College,Clerical,0,3,26,1
M,F,36501,2,2,Graduate Degree,Manual,0,1,39,1
S,F,86737,0,0,Partial College,Clerical,0,0,37,1
M,M,58529,2,1,Bachelors,Skilled Manual,1,0,46,1
S,F,107870,1,1,Bachelors,Management,1,3,63,1
M,M,58953,1,0,Bachelors,Skilled Manual,0,1,33,1
M,M,77607,2,1,Partial College,Clerical,1,2,56,1
M,M,59464,3,0,Partial College,Skilled Manual,1,2,69,1
M,M,57786,0,0,High School,Skilled Manual,0,2,31,1
M,M,31877,1,0,High School,Manual,0,1,33,1
M,F,53308,3,0,High School,Skilled Manual,1,0,92,1
M,F,137943,0,0,Graduate Degree,Professional,1,3,34,1
S,F,106718,0,0,Partial College,Management,1,2,42,1
S,M,61966,0,0,Partial High School,Skilled Manual,1,1,48,1
S,F,59016,0,0,Partial High School,Skilled Manual,0,0,37,1
S,F,57754,0,0,Partial College,Skilled Manual,0,2,46,1
S,F,87499,0,0,Partial College,Clerical,1,1,43,1
S,F,109789,0,0,Partial College,Management,0,3,26,1
M,F,104035,0,0,Bachelors,Management,1,3,37,1
S,M,78413,0,0,Partial College,Clerical,1,2,44,1
M,M,78396,2,0,Bachelors,Clerical,1,2,43,1
